RestaurantID,Name,CuisineType,Pricing_for_2,Restaurant_Phone,OperatingHours,LocationID,ActiveFlag,OpenStatus,Locality,Restaurant_Address,Latitude,Longitude,CreatedDate,ModifiedDate
11,Spice Route,"Indian,North Indian",500,9812345670,09:00 AM - 22:00 PM,1,Yes,Open,Lajpat Nagar,123 Market Street,28.567891,77.234567,3/15/2019,6/20/2020
12,The Green Bowl,"Healthy,Salads,Soups",600,9812345671,10:00 AM - 21:00 PM,1,Yes,Open,Connaught Place,45 Green Street,28.632872,77.21948,7/10/2019,2/18/2021
13,name an,"South Indian,North Indian,Fast Food",450,9812345672,11:00 AM - 23:00 PM,1,Yes,Open,Karol Bagh,67 Curry Avenue,28.653449,77.223554,1/25/2020,8/5/2021
14,Urban Tandoor,"North Indian,Chinese",700,9812345673,12:00 PM - 23:30 PM,1,Yes,Open,Malviya Nagar,12 Tandoor Lane,28.54321,77.210987,5/17/2020,1/30/2022
15,Sweet Tooth,"Desserts,Beverages",400,9812345674,10:00 AM - 22:00 PM,1,Yes,Open,Saket,89 Sweet Street,28.527654,77.203456,9/12/2020,12/22/2021
16,Bistro 21,"Continental,Italian",800,9812345675,09:30 AM - 22:30 PM,1,Yes,Open,Preet Vihar,21 Bistro Lane,28.65,77.216,11/3/2019,4/25/2020
17,Masala Magic,"Indian,North Indian,South Indian",550,9812345676,10:00 AM - 23:00 PM,1,Yes,Open,Indirapuram,77 Masala Street,28.621111,77.238888,2/14/2021,9/10/2021
18,The Salad Stop,"Healthy,Salads,Smoothies",500,9812345677,08:00 AM - 21:00 PM,1,Yes,Open,Vasant Kunj,34 Health Street,28.564321,77.204321,5/22/2021,3/15/2022
19,Chow Chow,"Chinese,Thai,Fast Food",650,9812345678,11:00 AM - 22:00 PM,1,Yes,Open,Rohini,56 Chow Street,28.700123,77.120456,8/19/2019,7/30/2020
20,Tandoori Tales,"North Indian,Mughlai",700,9812345679,12:00 PM - 23:00 PM,11,Yes,Open,Janakpuri,90 Tandoor Road,28.645678,77.123456,3/11/2020,1/27/2021
21,Saffron Lounge,"Indian,Continental",900,9812345680,10:30 AM - 22:30 PM,1,Yes,Open,Greater Kailash,77 Saffron Avenue,28.552345,77.223456,12/5/2019,10/18/2020
22,The Noodle House,"Chinese,Fast Food",550,9812345681,11:00 AM - 22:00 PM,1,Yes,Open,Laxmi Nagar,45 Noodle Street,28.641234,77.221234,6/8/2020,4/20/2021
23,Pasta Fresca,"Italian,Continental",750,9812345682,12:00 PM - 23:00 PM,11,Yes,Open,Chhatarpur,12 Pasta Lane,28.597654,77.210123,1/15/2021,12/1/2021
24,Burger Hub,"Fast Food,American",450,9812345683,10:00 AM - 23:00 PM,1,Yes,Open,Karol Bagh,34 Burger Street,28.65321,77.223654,5/9/2019,9/12/2020
