MenuID,RestaurantID,ItemName,Description,Price,Category,Availability,ItemType,CreatedDate,ModifiedDate
27,11,Palak Paneer,Spinach curry with soft paneer cubes,180,Indian,TRUE,Veg,2019-03-15T10:00:00,2020-06-20T12:00:00
28,12,Greek Salad,Fresh greens with feta  olives  and vinaigrette,150,Salads,TRUE,Veg,2019-07-10T10:00:00,2021-02-18T12:00:00
29,13,Idli Sambhar,Steamed rice cakes served with spicy lentil soup,80,South Indian,TRUE,Veg,2020-01-25T10:00:00,2021-08-05T12:00:00
30,14,Chicken Manchurian,Spicy chicken stir-fry with soy sauce,200,North Indian,TRUE,Non-Veg,2020-05-17T10:00:00,2022-01-30T12:00:00
31,15,Chocolate Lava Cake,Warm cake with a molten chocolate center,120,Desserts,TRUE,Veg,2020-09-12T10:00:00,2021-12-22T12:00:00
32,16,Margherita Pizza,Classic pizza with tomato  mozzarella  and basil,250,Italian,TRUE,Veg,2019-11-03T10:00:00,2020-04-25T12:00:00
33,17,Chicken Biryani,Fragrant rice with spiced chicken and herbs,220,North Indian,TRUE,Non-Veg,2021-02-14T10:00:00,2021-09-10T12:00:00
34,18,Quinoa Salad,Healthy quinoa with veggies and lemon dressing,160,Salads,TRUE,Veg,2021-05-22T10:00:00,2022-03-15T12:00:00
35,19,Pad Thai,Stir-fried noodles with shrimp and peanuts,190,Thai,TRUE,Non-Veg,2019-08-19T10:00:00,2020-07-30T12:00:00
36,20,Mutton Rogan Josh,Tender mutton in rich spiced gravy,240,Mughlai,TRUE,Non-Veg,2020-03-11T10:00:00,2021-01-27T12:00:00
37,21,Vegetable Pulao,Fragrant rice with mixed vegetables and spices,170,Indian,TRUE,Veg,2019-12-05T10:00:00,2020-10-18T12:00:00
38,22,Hakka Noodles,Stir-fried noodles with vegetables and soy sauce,140,Chinese,TRUE,Veg,2020-06-08T10:00:00,2021-04-20T12:00:00
39,23,Spaghetti Aglio Olio,Pasta with garlic  olive oil  and chili flakes,230,Italian,TRUE,Veg,2021-01-15T10:00:00,2021-12-01T12:00:00
40,24,Cheeseburger,Juicy patty with cheese  lettuce ,130,Fast Food,TRUE,Non-Veg,2019-05-09T10:00:00,2020-09-12T12:00:00
41,25,Blueberry Cheesecake,Creamy cheesecake with blueberry topping,150,Desserts,TRUE,Veg,2020-07-11T10:00:00,2021-05-18T12:00:00
42,26,Cappuccino,Frothy coffee with steamed milk,100,Beverages,TRUE,Veg,2021-03-07T10:00:00,2022-02-15T12:00:00
43,27,Hyderabadi Biryani,Spiced rice with tender chicken and saffron,230,North Indian,TRUE,Non-Veg,2019-09-21T10:00:00,2020-11-30T12:00:00
44,28,Avocado Toast,Toasted bread with mashed avocado and herbs,140,Healthy,TRUE,Veg,2020-02-17T10:00:00,2021-08-25T12:00:00
45,29,Kung Pao Chicken,Spicy chicken with peanuts and vegetables,200,Chinese,TRUE,Non-Veg,2020-08-23T10:00:00,2021-12-10T12:00:00
46,30,Paneer Dosa,Crepe filled with spiced paneer and chutney,90,South Indian,TRUE,Veg,2019-11-14T10:00:00,2020-06-30T12:00:00
47,31,Pesto Pasta,Pasta tossed in fresh basil pesto sauce,240,Italian,TRUE,Veg,2021-04-19T10:00:00,2022-01-05T12:00:00
48,32,Chicken Momos,Steamed dumplings filled with spiced chicken,120,Chinese,TRUE,Non-Veg,2019-06-28T10:00:00,2020-08-15T12:00:00
